Age;UES;DC;Gender
18;-0,5;0;1
18;-0,5;0;1
18;-0,5;0;0
18;-0,5;0;1
18;-0,5;0;1
18;-0,5;0;0
18;-0,5;1;1
18;-0,5;0;1
18;-0,5;0;0
18;-0,5;0;0
18;-0,5;0;0
18;-0,5;0;1
18;-0,5;0;1
18;-0,5;0;0
18;-0,5;1;1
18;-0,5;0;0
18;-0,5;0;0
18;-0,5;0;1
18;-0,5;0;1
18;-0,5;1;1
18;-0,5;1;1
18;-0,5;0;1
18;-0,5;0;1
18;-0,5;0;0
18;-0,5;1;1
18;-0,5;0;1
18;-0,5;0;0
18;-0,5;0;0
18;-0,5;1;1
18;-0,5;0;1
18;-0,5;1;0
18;-0,5;0;0
18;-0,5;0;0
18;-0,5;1;1
18;-0,5;0;1
18;-0,5;1;0
18;-0,5;0;1
18;-0,5;0;1
18;-0,5;0;1
18;-0,5;0;1
18;-0,5;1;1
18;-0,5;0;1
18;-0,5;0;1
18;-0,5;0;0
18;-0,5;1;1
18;-0,5;0;1
18;-0,5;1;1
18;-0,5;1;1
18;-0,5;0;0
18;-0,5;0;1
18;-0,5;0;0
18;-0,5;0;1
18;-0,5;1;1
18;-0,5;0;1
18;-0,5;0;0
18;-0,5;1;1
18;-0,5;0;0
18;-0,5;1;0
18;-0,5;1;1
18;-0,5;0;1
18;-0,5;0;1
18;-0,5;0;1
18;-0,5;1;0
18;-0,5;1;1
18;-0,5;0;1
19;-0,5;0;1
19;-0,5;0;1
19;-0,5;0;1
19;-0,5;0;0
19;-0,5;0;1
19;-0,5;1;0
19;-0,5;1;1
19;-0,5;0;1
19;-0,5;0;0
19;-0,5;0;1
19;-0,5;0;0
19;-0,5;1;1
19;-0,5;1;1
19;-0,5;0;1
19;-0,5;0;0
19;-0,5;0;1
19;-0,5;0;1
19;-0,5;0;1
19;-0,5;0;0
19;-0,5;0;1
19;-0,5;0;1
19;-0,5;0;1
19;-0,5;0;1
19;-0,5;1;1
19;-0,5;0;1
19;-0,5;0;0
19;-0,5;1;0
19;-0,5;0;0
19;-0,5;0;1
19;-0,5;0;1
19;-0,5;0;1
19;-0,5;0;0
19;-0,5;0;1
19;-0,5;0;0
19;-0,5;0;1
19;-0,5;0;1
19;-0,5;0;1
19;-0,5;0;1
19;-0,5;1;0
19;-0,5;0;1
19;-0,5;0;1
19;-0,5;1;0
19;-0,5;0;0
18;0,5;0;0
18;0,5;0;0
18;0,5;0;1
18;0,5;1;1
18;0,5;0;0
18;0,5;0;1
18;0,5;0;0
18;0,5;1;1
18;0,5;0;0
18;0,5;1;1
18;0,5;0;1
18;0,5;0;1
18;0,5;0;1
18;0,5;1;1
18;0,5;0;1
18;0,5;0;1
18;0,5;1;0
18;0,5;1;1
18;0,5;0;0
18;0,5;0;1
18;0,5;0;0
18;0,5;1;1
18;0,5;0;1
18;0,5;1;0
18;0,5;1;0
18;0,5;0;1
18;0,5;0;0
18;0,5;0;1
18;0,5;0;0
18;0,5;0;0
18;0,5;0;1
18;0,5;0;1
18;0,5;0;1
18;0,5;0;0
18;0,5;1;0
18;0,5;1;1
18;0,5;0;1
18;0,5;0;1
18;0,5;0;1
18;0,5;0;1
18;0,5;1;1
18;0,5;0;0
18;0,5;0;0
18;0,5;1;1
18;0,5;0;1
18;0,5;1;1
18;0,5;0;0
18;0,5;1;1
18;0,5;1;1
18;0,5;1;0
18;0,5;0;1
18;0,5;0;1
18;0,5;1;1
18;0,5;1;1
18;0,5;0;1
18;0,5;0;1
18;0,5;1;1
18;0,5;1;1
18;0,5;1;0
18;0,5;0;0
18;0,5;0;0
18;0,5;0;0
18;0,5;0;0
18;0,5;0;0
18;0,5;0;1
18;0,5;0;0
18;0,5;1;0
18;0,5;0;1
18;0,5;0;1
18;0,5;0;0
18;0,5;1;1
18;0,5;0;1
18;0,5;1;1
18;0,5;0;1
18;0,5;0;0
18;0,5;0;1
18;0,5;1;1
18;0,5;0;0
18;0,5;1;1
18;0,5;0;1
18;0,5;0;1
18;0,5;0;1
18;0,5;0;1
18;0,5;0;0
18;0,5;0;0
18;0,5;0;0
18;0,5;0;1
18;0,5;0;0
18;0,5;1;1
18;0,5;0;0
18;0,5;1;1
18;0,5;0;0
18;0,5;1;1
18;0,5;0;1
18;0,5;1;1
18;0,5;0;1
18;0,5;0;1
18;0,5;1;1
18;0,5;0;0
18;0,5;0;1
18;0,5;0;1
18;0,5;0;1
18;0,5;0;1
18;0,5;0;1
18;0,5;1;1
18;0,5;0;1
18;0,5;0;1
18;0,5;0;1
18;0,5;0;1
18;0,5;1;1
18;0,5;1;1
18;0,5;0;0
18;0,5;1;1
18;0,5;0;0
18;0,5;1;1
18;0,5;0;1
18;0,5;1;1
18;0,5;1;1
18;0,5;1;1
18;0,5;0;1
18;0,5;1;1
18;0,5;0;1
18;0,5;1;1
18;0,5;0;1
18;0,5;0;0
18;0,5;0;1
18;0,5;1;1
18;0,5;0;1
18;0,5;0;0
18;0,5;0;1
18;0,5;0;0
18;0,5;0;0
18;0,5;0;1
18;0,5;1;1
18;0,5;0;0
18;0,5;1;1
18;0,5;0;0
18;0,5;1;1
18;0,5;0;0
18;0,5;0;0
18;0,5;0;1
18;0,5;0;0
18;0,5;0;0
18;0,5;0;1
18;0,5;0;1
18;0,5;1;1
18;0,5;1;1
18;0,5;0;1
18;0,5;1;1
18;0,5;1;1
18;0,5;1;0
18;0,5;0;0
18;0,5;1;1
18;0,5;1;1
18;0,5;0;1
18;0,5;1;0
18;0,5;0;1
18;0,5;0;1
18;0,5;0;1
18;0,5;1;0
18;0,5;0;1
18;0,5;1;1
18;0,5;0;0
18;0,5;1;1
18;0,5;0;0
18;0,5;1;1
18;0,5;0;1
18;0,5;0;1
18;0,5;1;1
18;0,5;1;1
18;0,5;0;1
18;0,5;0;1
18;0,5;1;1
18;0,5;0;1
18;0,5;1;0
18;0,5;0;1
18;0,5;0;1
18;0,5;1;1
18;0,5;0;1
18;0,5;1;1
18;0,5;0;1
18;0,5;1;1
18;0,5;1;0
18;0,5;1;1
18;0,5;1;1
18;0,5;0;1
18;0,5;0;1
18;0,5;1;1
18;0,5;0;0
18;0,5;0;0
18;0,5;1;1
18;0,5;0;1
18;0,5;1;1
18;0,5;1;0
18;0,5;1;1
18;0,5;0;1
18;0,5;1;1
18;0,5;1;1
18;0,5;0;0
18;0,5;0;1
18;0,5;1;0
18;0,5;1;1
18;0,5;1;1
18;0,5;1;1
18;0,5;1;1
18;0,5;1;0
18;0,5;1;0
18;0,5;1;0
18;0,5;0;0
18;0,5;0;1
18;0,5;0;1
18;0,5;0;0
18;0,5;0;0
18;0,5;1;1
18;0,5;0;1
18;0,5;0;1
18;0,5;0;1
18;0,5;0;0
18;0,5;1;1
18;0,5;1;1
18;0,5;1;0
18;0,5;0;1
18;0,5;1;0
18;0,5;0;1
18;0,5;0;0
19;0,5;0;0
19;0,5;0;1
19;0,5;0;1
19;0,5;0;0
19;0,5;0;1
19;0,5;0;1
19;0,5;0;0
19;0,5;1;0
19;0,5;0;0
19;0,5;0;1
19;0,5;0;0
19;0,5;0;1
19;0,5;0;0
19;0,5;0;1
19;0,5;0;1
19;0,5;0;1
19;0,5;0;0
19;0,5;0;1
19;0,5;0;0
19;0,5;0;1
19;0,5;0;0
19;0,5;0;1
19;0,5;0;1
19;0,5;0;1
19;0,5;0;1
19;0,5;0;1
19;0,5;0;1
19;0,5;0;0
19;0,5;0;0
19;0,5;1;1
19;0,5;0;0
19;0,5;0;1
19;0,5;1;0
19;0,5;0;1
19;0,5;0;1
19;0,5;0;1
19;0,5;0;0
19;0,5;1;0
19;0,5;0;1
19;0,5;1;1
19;0,5;1;1
19;0,5;0;1
19;0,5;1;1
19;0,5;0;1
19;0,5;0;1
19;0,5;1;1
19;0,5;0;0
19;0,5;1;1
19;0,5;1;1
19;0,5;1;1
19;0,5;0;1
19;0,5;0;1
19;0,5;0;1
19;0,5;0;0
19;0,5;0;0
19;0,5;1;1
19;0,5;0;0
19;0,5;0;1
19;0,5;1;1
19;0,5;0;0
19;0,5;0;1
19;0,5;0;1
19;0,5;0;0
19;0,5;0;0
19;0,5;0;0
19;0,5;0;1
19;0,5;0;0
19;0,5;1;1
19;0,5;0;0
19;0,5;0;1
19;0,5;0;0
19;0,5;1;1
19;0,5;0;0
19;0,5;0;0
19;0,5;1;0
19;0,5;0;1
19;0,5;1;1
19;0,5;0;0
19;0,5;0;0
19;0,5;1;1
19;0,5;0;1
19;0,5;0;1
19;0,5;1;0
19;0,5;0;0
19;0,5;0;1
19;0,5;1;0
19;0,5;0;1
19;0,5;0;1
19;0,5;1;1
19;0,5;0;1
19;0,5;0;0
19;0,5;1;1
19;0,5;0;1
19;0,5;0;0
19;0,5;0;0
19;0,5;1;1
18;1,5;0;0
18;1,5;1;1
18;1,5;0;1
18;1,5;0;1
18;1,5;0;0
18;1,5;1;0
18;1,5;1;1
18;1,5;1;1
18;1,5;1;1
18;1,5;0;1
18;1,5;0;0
18;1,5;1;0
18;1,5;1;1
18;1,5;1;1
18;1,5;0;0
18;1,5;1;1
18;1,5;1;1
18;1,5;0;1
18;1,5;0;0
18;1,5;0;1
18;1,5;1;1
18;1,5;1;1
18;1,5;1;0
18;1,5;1;1
18;1,5;0;0
18;1,5;0;1
18;1,5;0;0
18;1,5;1;1
18;1,5;0;1
18;1,5;1;1
18;1,5;1;1
18;1,5;1;1
18;1,5;1;1
18;1,5;0;1
18;1,5;0;0
18;1,5;1;1
18;1,5;0;1
18;1,5;1;1
18;1,5;0;0
18;1,5;0;1
18;1,5;0;1
18;1,5;0;1
18;1,5;0;1
18;1,5;0;0
18;1,5;1;1
18;1,5;0;1
18;1,5;1;1
18;1,5;1;1
18;1,5;0;1
18;1,5;0;1
18;1,5;1;1
18;1,5;1;0
18;1,5;1;1
18;1,5;0;0
18;1,5;0;1
18;1,5;0;0
18;1,5;0;1
18;1,5;0;0
18;1,5;1;0
18;1,5;1;1
18;1,5;0;0
18;1,5;0;1
18;1,5;1;1
18;1,5;1;0
18;1,5;1;0
18;1,5;0;1
18;1,5;0;1
18;1,5;1;0
18;1,5;0;1
18;1,5;1;1
18;1,5;0;1
18;1,5;1;1
18;1,5;0;0
18;1,5;1;1
18;1,5;0;0
18;1,5;1;1
18;1,5;1;1
18;1,5;0;0
18;1,5;1;1
18;1,5;0;1
18;1,5;0;0
18;1,5;1;1
18;1,5;1;1
18;1,5;1;1
18;1,5;1;0
18;1,5;0;0
18;1,5;1;0
18;1,5;1;1
18;1,5;1;1
18;1,5;0;1
18;1,5;1;1
18;1,5;0;1
18;1,5;1;1
18;1,5;1;0
18;1,5;1;1
18;1,5;0;1
18;1,5;1;1
18;1,5;1;1
18;1,5;1;0
18;1,5;1;1
18;1,5;0;1
18;1,5;0;1
18;1,5;1;1
18;1,5;0;1
18;1,5;1;1
18;1,5;1;1
18;1,5;1;1
18;1,5;0;0
18;1,5;1;1
18;1,5;0;1
18;1,5;0;1
18;1,5;1;1
18;1,5;0;1
18;1,5;1;1
18;1,5;0;0
18;1,5;0;1
18;1,5;0;0
18;1,5;1;0
18;1,5;1;1
18;1,5;1;1
18;1,5;1;1
18;1,5;1;1
18;1,5;1;1
18;1,5;0;1
18;1,5;1;1
18;1,5;1;0
18;1,5;0;1
18;1,5;1;1
18;1,5;1;1
18;1,5;0;0
18;1,5;0;1
18;1,5;1;1
18;1,5;0;0
18;1,5;1;1
18;1,5;1;1
18;1,5;0;1
18;1,5;0;1
18;1,5;1;1
18;1,5;0;1
18;1,5;1;1
18;1,5;1;1
18;1,5;1;0
18;1,5;1;1
18;1,5;0;0
18;1,5;0;1
18;1,5;0;1
18;1,5;1;1
18;1,5;0;1
18;1,5;1;1
18;1,5;1;0
18;1,5;1;1
18;1,5;1;1
18;1,5;1;1
18;1,5;0;1
18;1,5;0;0
18;1,5;0;0
18;1,5;0;1
18;1,5;1;0
18;1,5;0;0
18;1,5;0;1
18;1,5;0;0
18;1,5;1;1
18;1,5;0;0
18;1,5;1;1
18;1,5;1;1
18;1,5;1;1
18;1,5;1;0
18;1,5;0;1
18;1,5;1;0
18;1,5;0;1
18;1,5;1;1
18;1,5;1;0
18;1,5;1;0
18;1,5;0;1
18;1,5;0;1
18;1,5;0;1
18;1,5;0;0
18;1,5;0;1
18;1,5;1;1
18;1,5;1;1
18;1,5;1;0
18;1,5;1;0
18;1,5;1;1
18;1,5;1;0
18;1,5;1;1
18;1,5;1;1
18;1,5;1;0
18;1,5;1;1
18;1,5;1;1
18;1,5;1;1
18;1,5;1;1
18;1,5;1;1
18;1,5;1;1
18;1,5;0;0
18;1,5;0;0
18;1,5;0;1
18;1,5;1;1
18;1,5;0;1
18;1,5;1;1
18;1,5;1;1
18;1,5;1;1
18;1,5;0;1
18;1,5;0;0
18;1,5;0;0
18;1,5;1;1
18;1,5;0;1
18;1,5;0;1
18;1,5;1;1
18;1,5;1;1
18;1,5;0;0
18;1,5;1;1
18;1,5;1;1
18;1,5;0;1
18;1,5;0;1
18;1,5;1;0
18;1,5;1;1
18;1,5;1;1
18;1,5;1;1
18;1,5;1;1
18;1,5;1;1
18;1,5;1;1
18;1,5;1;1
18;1,5;0;1
18;1,5;1;0
18;1,5;0;1
18;1,5;0;1
18;1,5;1;1
18;1,5;0;0
18;1,5;1;1
18;1,5;1;0
18;1,5;0;0
18;1,5;1;1
18;1,5;0;0
18;1,5;1;0
18;1,5;0;0
18;1,5;1;1
18;1,5;0;1
18;1,5;1;1
18;1,5;1;1
18;1,5;0;1
18;1,5;0;1
18;1,5;0;0
18;1,5;0;1
18;1,5;0;1
18;1,5;0;1
18;1,5;0;1
18;1,5;1;0
18;1,5;1;1
18;1,5;1;1
19;1,5;0;0
19;1,5;0;1
19;1,5;0;0
19;1,5;1;0
19;1,5;1;1
19;1,5;1;0
19;1,5;1;1
19;1,5;1;0
19;1,5;0;1
19;1,5;0;0
19;1,5;0;1
19;1,5;0;0
19;1,5;1;0
19;1,5;1;1
19;1,5;1;0
19;1,5;1;1
19;1,5;1;0
19;1,5;1;1
19;1,5;0;1
19;1,5;1;1
19;1,5;0;0
19;1,5;0;1
19;1,5;1;1
19;1,5;0;0
19;1,5;1;1
19;1,5;0;0
19;1,5;0;1
19;1,5;0;1
19;1,5;0;0
19;1,5;1;1
19;1,5;0;0
19;1,5;1;0
19;1,5;1;1
19;1,5;0;1
19;1,5;1;1
19;1,5;0;0
19;1,5;1;1
19;1,5;0;0
19;1,5;1;1
19;1,5;1;1
19;1,5;1;1
19;1,5;0;0
19;1,5;0;0
19;1,5;1;1
19;1,5;0;0
19;1,5;0;0
19;1,5;0;0
19;1,5;0;0
19;1,5;0;0
19;1,5;0;1
19;1,5;1;1
19;1,5;1;1
19;1,5;1;1
18;2,5;1;1
18;2,5;1;1
18;2,5;1;1
18;2,5;1;1
18;2,5;1;1
18;2,5;1;1
18;2,5;1;1
18;2,5;1;1
18;2,5;1;1
18;2,5;0;0
18;2,5;1;1
18;2,5;1;0
18;2,5;1;1
18;2,5;1;0
18;2,5;1;1
18;2,5;1;1
18;2,5;1;1
18;2,5;1;1
18;2,5;1;1
18;2,5;0;0
18;2,5;1;0
18;2,5;0;1
18;2,5;0;1
18;2,5;1;1
18;2,5;0;1
18;2,5;1;1
18;2,5;0;1
18;2,5;1;1
18;2,5;1;0
18;2,5;1;1
18;2,5;1;0
18;2,5;1;0
18;2,5;1;1
18;2,5;0;1
18;2,5;0;1
18;2,5;0;0
18;2,5;1;1
18;2,5;1;1
18;2,5;1;1
18;2,5;0;1
18;2,5;1;1
18;2,5;1;1
18;2,5;1;0
18;2,5;1;0
18;2,5;1;1
18;2,5;1;1
18;2,5;0;0
18;2,5;0;1
18;2,5;0;1
18;2,5;1;1
18;2,5;1;0
18;2,5;0;1
18;2,5;1;1
18;2,5;1;1
18;2,5;0;1
18;2,5;1;1
18;2,5;1;1
18;2,5;0;1
18;2,5;1;0
18;2,5;1;1
18;2,5;1;1
18;2,5;0;0
18;2,5;1;1
18;2,5;0;1
18;2,5;1;1
18;2,5;1;1
18;2,5;1;1
18;2,5;1;1
18;2,5;1;1
18;2,5;1;1
18;2,5;0;0
18;2,5;0;0
18;2,5;0;0
18;2,5;1;1
18;2,5;0;1
18;2,5;0;1
18;2,5;0;1
18;2,5;1;1
18;2,5;1;1
18;2,5;1;0
18;2,5;0;0
18;2,5;1;1
18;2,5;1;0
18;2,5;0;0
18;2,5;0;1
18;2,5;1;0
18;2,5;0;1
18;2,5;0;1
18;2,5;1;0
18;2,5;1;0
18;2,5;1;1
18;2,5;0;0
18;2,5;0;0
18;2,5;1;1
18;2,5;1;1
18;2,5;1;1
18;2,5;1;1
18;2,5;1;1
18;2,5;1;1
18;2,5;1;1
18;2,5;1;0
18;2,5;1;1
18;2,5;0;1
18;2,5;1;1
18;2,5;1;1
18;2,5;1;1
18;2,5;1;0
18;2,5;0;0
18;2,5;1;1
18;2,5;1;0
18;2,5;1;1
18;2,5;1;0
18;2,5;1;1
18;2,5;1;0
18;2,5;1;1
18;2,5;1;1
*;*;1;1
*;*;1;0
*;*;0;1
*;*;0;0
*;*;0;1
*;*;0;1
*;*;0;1
*;*;0;0
*;*;0;0
*;*;0;0
*;*;0;1
*;*;0;0
*;*;0;0
*;*;0;0
*;*;0;1
*;*;0;0
*;*;0;0
*;*;1;0
*;*;0;1
*;*;0;1
*;*;0;0
*;*;0;0
*;*;0;0
*;*;0;0
*;*;0;1
*;*;0;0
*;*;0;1
*;*;1;1
*;*;0;0
*;*;0;0
*;*;0;1
*;*;0;1
*;*;1;1
*;*;1;1
*;*;1;0
*;*;1;0
*;*;0;0
*;*;0;1
*;*;0;1
*;*;0;1
*;*;0;1
*;*;0;1
*;*;0;1
*;*;1;0
*;*;0;0
*;*;0;1
*;*;0;0
*;*;0;1
*;*;0;0
*;*;0;1
*;*;0;1
*;*;0;1
*;*;1;1
*;*;0;1
*;*;0;1
*;*;0;0
*;*;0;1
*;*;0;1
*;*;0;1
*;*;1;1
*;*;0;1
*;*;1;1
*;*;1;0
*;*;0;1
*;*;1;1
*;*;1;1
*;*;0;0
*;*;1;1
*;*;0;1
*;*;0;0
*;*;1;1
*;*;1;1
*;*;1;1
*;*;1;1
*;*;0;1
*;*;1;1
*;*;1;0
*;*;0;1
*;*;1;1
*;*;1;1
*;*;0;1
*;*;1;1
*;*;0;0
*;*;1;0
*;*;1;0
*;*;1;1
*;*;1;1
*;*;1;1
*;*;1;1
*;*;1;1
*;*;1;0
*;*;1;1
*;*;1;1
*;*;1;1
*;*;0;0
*;*;0;0
*;*;0;1
*;*;0;0
*;*;1;0
*;*;0;1
*;*;1;0
*;*;0;0
*;*;0;0
*;*;0;0
*;*;0;0
*;*;0;1
*;*;0;0
*;*;0;0
*;*;0;1
*;*;0;0
*;*;0;0
*;*;0;1
*;*;1;1
*;*;1;0
*;*;0;0
*;*;1;0
*;*;0;0
*;*;0;1
*;*;0;1
*;*;0;1
*;*;0;1
*;*;1;0
*;*;0;0
*;*;0;1
*;*;0;0
*;*;0;0
*;*;0;1
*;*;1;1
*;*;1;1
*;*;0;0
*;*;1;1
*;*;0;0
*;*;0;0
*;*;0;1
*;*;0;1
*;*;1;0
*;*;1;0
*;*;0;1
*;*;1;1
*;*;0;1
*;*;0;0
*;*;0;1
*;*;1;1
*;*;0;1
*;*;1;1
*;*;0;1
*;*;1;0
*;*;0;1
*;*;0;1
*;*;0;1
*;*;0;1
*;*;1;0
*;*;0;1
*;*;0;0
*;*;0;1
*;*;0;1
*;*;0;1
*;*;0;1
*;*;0;0
